Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,California,Louisiana,Massachusetts
25,"Kindergarten Teachers, Except Special Education",3.38,2,1.5,3.75,3.38,1.62,2.5,2.75,3.88,4.12,2.62,1,3.25,1.88,2.25,2.38,4,3.88,2,2,3,3,2,2,1,50490,88930,53520,82790
25,"Law Teachers, Postsecondary",4,1,1,3,4,1,2.12,2.62,4.12,4.62,2.25,1,2.62,1,1,2,4.38,4,2,2,2,2,2,1,1,148160,132800,143100,174240
25,Librarians and Media Collections Specialists,3.25,1.88,1.75,3,3.25,2.25,2.12,2.75,4.12,4.25,2.62,1.25,3,1.12,1.88,2.12,4.12,3.75,1,2,2,2,2,2,1,58510,90960,60090,76600
25,"Library Science Teachers, Postsecondary",3.88,1.38,1,2.88,3.88,1,2.25,2.88,4.25,4.25,2.25,1,2.88,1,1,2.12,4.25,4,2,2,2,2,2,1,1,73460,133140, ,77480
25,Library Technicians,3,2.12,1.25,2.12,2.88,2.5,2,2.38,3.38,3.38,2.75,1.12,2.88,2,2.25,2,3.25,3,1,1,1,1,1,1,1,35930,54580,38440,51870
25,"Mathematical Science Teachers, Postsecondary",4,1,1,3.12,3.88,1,4.25,3,4,4.12,2.12,1,2.88,1,1,2.12,4,3.88,2,2,2,2,1,2,1,70760,144630,79680,92850
25,"Middle School Teachers, Except Special and Career/Technical Education",3.75,1,1,3.38,3.25,1.25,2.88,3,3.88,4.25,2.75,1,3,1.38,1,2.5,3.88,3.88,2,2,3,3,2,2,1,57750,92840,56880,85230
25,Museum Technicians and Conservators,3.25,2,1.25,3.25,3.12,3.12,2.25,2.75,3.62,3.75,2.88,1.75,3,1.88,2.75,3.25,3.5,3.5,2,2,2,1,1,1,1,45000,60950,38600,61060
25,"Nursing Instructors and Teachers, Postsecondary",3.88,2,1.5,3.12,3.88,2.12,3,2.75,4.12,4.12,2.88,1.5,3.12,2,2,2.12,4.12,4,2,2,3,3,2,2,2,82490,101770,73790,90830
25,"Philosophy and Religion Teachers, Postsecondary",3.88,1,1,3,4,1,2,3,4,4.12,2.25,1,2.5,1,1,2,4.12,4,2,2,1,2,2,1,1,63710,116680,78930,101620
25,"Physics Teachers, Postsecondary",3.88,1,1,3.25,3.88,2.12,3.88,2.88,4,4.38,2.25,1.5,2.88,1,1,2.38,4,4,2,2,2,2,2,2,2,88410,138700,96910,113000
25,"Political Science Teachers, Postsecondary",3.25,1.25,1,3,3.75,1,2,2.75,4.12,4.12,2.12,1,3,1,1,1.88,4.25,4,2,2,2,3,2,1,1,82280,130220,90420,124370
25,"Preschool Teachers, Except Special Education",3.5,2,1.38,3.62,3,2.12,2.38,2.75,4,4,2.62,1.25,2.88,2.38,2.12,2.62,3.62,3.12,1,2,2,2,2,1,1,30920,48560,39940,48630
25,"Psychology Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2.88,2.88,4,4.5,2.12,1,2.5,1,1.12,2.12,4.12,4.12,2,2,2,2,2,1,1,81200,121250,87400,97240
25,"Recreation and Fitness Studies Teachers, Postsecondary",3.75,1.38,1,3.25,3.75,1.12,2.5,2.62,4,4.12,2.12,1,3,1.62,1.38,2.12,4,4,2,2,3,3,2,2,1,68700,137540,71390,84450
25,"Secondary School Teachers, Except Special and Career/Technical Education",4,1,1,3.62,3.62,1.38,3,3,4.12,4.25,2.88,1,3,1.25,1,2.88,4,3.88,2,2,3,2,2,2,1,58850,102040,60690,87200
25,Self-Enrichment Teachers,3.12,1.75,1.25,3,3,1.88,2,2.5,3.88,4,2.12,1.25,2.62,1.88,1.75,2.5,3.12,3.12,1,2,1,2,2,1,1,40430,59960,47460,64460
25,"Social Work Teachers, Postsecondary",4,1,1,3.38,4,1,2.38,2.75,4,4.75,2,1,2.62,1,1,2,4,4,2,2,2,2,2,2,1,79860,130330, ,97140
25,"Sociology Teachers, Postsecondary",3.88,1.12,1,3.12,4,1,2.12,2.25,4,4.5,2.12,1,2.62,1,1,1.88,4,4,2,2,2,2,2,2,1,66940,138020,97290,109030
25,"Special Education Teachers, Middle School",3.88,1.25,1.25,3.12,3.88,1.12,2.75,2.88,4,4,2.75,1,3.12,1.62,1,2.5,4.12,4,2,2,3,3,2,2,1,58320,95850,55220,86210
25,"Special Education Teachers, Preschool",3.88,2,1.75,3.25,3.75,2.12,2,2.5,4,4.12,2.5,1,3.38,2,2,2.25,4,3.75,2,2,2,2,2,2,1, ,60640,51180,80820
25,"Special Education Teachers, Secondary School",3.75,1.25,2,3.75,3.75,1,2.88,2.88,4,4,2.75,1.38,3.25,1.88,2,2.62,4,4,2,2,3,3,2,2,1,59840,101330,56220,85200
25,"Teaching Assistants, Postsecondary",3.12,1,1,3.12,3.12,1.62,2.25,2.25,4.12,4.12,2.12,1,3,1,1,2.12,4,3.5,2,2,1,1,2,1,1,23700,54170,28610,49690
25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.38,2.25,2,3.25,3.12,2,2.62,2.62,3.75,3.75,2.75,1.12,2.88,2.38,2.12,2.75,3.75,3.5,2,2,2,2,2,2,1, , , , 
25,Tutors,3.38,1,1,3.38,3.38,1.62,2.88,2.88,4.12,4,2.25,1,3.12,1,1,2.12,4,4,2,2,3,2,2,2,1,34930,49750,35010,60940
